STT	正确答案	题目		B	C	D
288	A	北回归线在我国大陆穿过几个省：	3	2	4	5
289	A	童话《木偶奇遇记》的作者卡尔洛.科洛迪是哪个国家的人？	意大利	丹麦	埃及	希腊
290	A	.“纸上得来终觉浅，绝知此时要躬行”是谁的名句？	路由	岑参	杜甫	辛弃疾 
291	A	下面哪位是《战争与和平》的作者？	列夫*托尔斯泰 	普希金	陀思妥耶夫斯基	契珂夫
292	A	陈独秀于1917年在哪本杂志上发表了《文学革命论》一文，举起文学革命的大旗？	《新青年》	《苏报》	《扬子晚报》	
293	A	《战国策》这部历史著作采用的是什么体例？	国别体	编年体	纪传体	
294	A	《牡丹亭》是明代一部著名的戏剧传奇，作者是谁？	汤显祖	孔尚任	关汉卿 	王实甫
295	A	东南亚最大的河流是哪一条？	湄公河	长江	塔里木河	雅鲁藏布江
296	A	发现恒星的位子并非永远不变的哪国人？	中国人	希腊人	英国人	美国人
297	A	战国时期，主张人们不分贵贱等级，互爱互利，反对不义战争的思想家是？	墨子	孔子	老子	孟子
298	A	开创了我国纪传体史学和传记文学的先河的是哪部作品，作者是谁？	史记，司马迁	春秋，庄子	汉书 班固	尚书，孔子
299	A	《资治通鉴》成书于	北宋	西汉	东汉	南宋
300	A	战国时期推行“胡服骑射”的是哪个国家？	赵国	齐国	魏国	秦国
301	A	著有长篇小说《穷人》《罪与罚》的俄国著名作家是谁？	陀思妥耶夫斯基	契诃夫	托尔斯泰	普希金
302	A	我国章回小说的开山作品是什么？	《三国演义》	《西游记》	《牡丹亭》 	《长生殿》
303	A	国际足联最近首次认定足球起源于哪个国家?	中国 	英国	巴西	希腊
304	A	一般人们在夏天都穿浅色的衣服，其主要原因是浅色衣服：	吸收的太阳光比较少	比较流行	重量比较轻 	比较漂亮
305	A	临终前还三呼“过河”的是南宋名臣宗泽吗？	是	不是		
306	A	计算机硬件能直接识别并执行的语言是	机器语言	符号语言	算法语言	高级语言
307	A	"基督教徒在祷告时常说""阿门"",阿门的意思是?"	诚如所愿	愿你幸福 	保佑我吧	
308	A	泰戈尔获得诺贝尔文学奖的作品是? 	《飞鸟集》	《吉檀迦利》	《瑭璜》	
309	A	传说周文王在哪创造的周易？	安阳	商丘	洛阳	开封
310	A	“开元盛世”的开元是哪一个皇帝的年号？	唐玄宗	乾隆	唐太宗	康熙
311	A	元代的哪部作品被誉为“杂剧之冠”，作者是谁？ 	"《西厢记》,王实甫"	"《墙头马上》,白 朴 "	"《倩女离魂》,郑光祖"	"《窦娥冤》,关汉卿"
312	A	以下哪项不是手提电话的传输技术：	CCNA	TDMA	GSM	CDMA
313	A	"电子商贸中的""B2C""是指："	商业对顾客	商业对商业	外汇投资	遥距课程
314	A	在先秦作品中，“重章叠句，一唱三叹”是哪部作品的艺术特点？	《诗经》	《庄子》	《六韬》	《礼记》
315	A	平定西汉“七国之乱”的将领是谁？	萧何	周亚夫	项羽	陈平
316	A	世界上既生蛋又产乳汁哺育后代的是什么动物？	鸭嘴兽	蛇	鳄鱼	袋鼠
317	A	一般正常而言，成年人大概有多少颗牙？	32颗	29颗	30颗	31颗
318	A	我国南方的梅雨属于	锋面雨	雷阵雨	对流雨	地形雨
319	A	配制一种盐水，盐和水的重量比是1:2，盐是盐水重量的几分之几?	三分之一	二分之一	五分之一	
320	A	奥林匹克运动会的发源地是:	古希腊	古代中国	古巴比伦	古罗马
321	A	第一届奥运会什么时候开始举行?	1896年	1900年	1894年	1890年
322	A	2008年奥运会将在哪个城市举行?	北京	莫斯科	费城	巴黎
323	A	"奥运会旗是:""五色环""旗,其中黄色环代表:"	亚洲	欧洲	非洲	大洋洲
324	A	第一届世界杯足球赛是在哪个国家举行?	乌拉圭	巴西	意大利	法国
325	A	"下列体育项目哪项不是奥运会""五项全能""之一?"	跳高	跳远	1500米	200米
326	A	体育运动篮球最早起源于:	美国	中国	英国	法国
327	A	"女子游泳衣称""比基尼"",这个名字源于什么名?"	小岛	模特	运动员	设计师
328	A	我国第一个获得世界冠军的是誰?	荣国团	陈镜开	郑凤荣	吴传玉
329	A	高尔夫球运动的运动场上共有多少个球洞?	18	19	20	17
330	A	围棋共有多少个棋子?	361	360	362	365
331	A	下列中国象棋手哪位获全国冠军次数最多?	胡荣华	谢侠逊	谢思明	杨官璘
332	A	体育项目铅球所用的球的重量约多少公斤?	7公斤	8公斤	6公斤	5公斤
333	A	世界游泳锦标赛最长的是男子1500米什么泳式?	自由泳	蛙泳	仰泳	蝶泳
334	A	下列哪项比赛替被队员可以在任何时候入场比赛?	手球	排球	篮球 	足球
335	A	下列哪一个口号不是奥运会的口号?	更好	更强	更快	更高
336	A	"名言""生命在于运动""是誰说的?"	伏尔泰	契诃夫	普希金	车尔尼夫斯基
337	A	饱食后不宜做剧烈运动这是因为:	有障消化	导致神经衰弱	呕吐	会得阑尾炎
338	A	"比赛时,一队白帽,另一他蓝帽,守门员红帽,这是什么比赛?"	水球	曲棍球	橄榄球	冰球
339	A	"两人徙手较量,以将对方摔倒或推出界外为胜的比赛是:"	相扑	角力	摔跤	柔道
340	A	"职业拳击运动员争夺""世界拳王""必须多少周岁?"	21	20	25	18
341	A	我国哪位运动员第一次获得田径比赛冠军?	徐永久	黄志红	刘华金	邹振华
342	A	"新中国成立后,第一次参加奥运会是在哪一年?"	1952	1956	1980	1984
343	A	"体操比赛中有四个动作以我国运动员的名字命名,其中鞍马是:"	童非	李宁	李小双	李月久
344	A	你知道曲棍球每半场的时间是多少分钟吗?	40	30	35	45
345	A	跳竹杆是我国哪个少数民族的传统体育运动?	黎族	白族	苗族	壮族
346	A	朱建华夺取世界跳高冠军是以什么姿式?	背越式	剪式	俯卧式	跨越式
347	A	我国最早打破举重世界纪录的是哪位运动员?	陈镜开	陈伟强	何灼强	何英强
348	A	周恩来倡导中小学生每天必须多长时间的体育运动?	一小时	一小时半	二小时	半小时
349	A	下列哪位武术家是迷踪拳的创始人?	霍元甲	李存义	张长兴	董海川
350	A	1990年第十一届亚运会在哪个城市举行?	北京	曼谷	汉城	东京
351	A	"发展体育运动,增强人民体质是我国哪位领导人的题词?"	毛泽东	周恩来	邓小平	贺龙
352	A	"下列哪个国家因""卒可攻王,攻后""而禁止下国际象棋?"	沙特阿拉伯	肯尼亚	印尼	印度
353	A	我国被称为哪一类体育运动的体育王国?	乒乓球王国	排球王国	举重王国	羽毛球王国
354	A	我国境内最早的人类是:	元谋人	山顶洞人	北京人	丁村人
355	A	"清朝晚期,被今人誉为""开眼看世界第一人""的是谁?"	林则徐	严复	龚自珍	魏源
356	A	"红军长征中,哪次战役最突出反映毛泽东军事思想和指挥才能?"	四渡赤水	抢渡大渡河	飞夺沪定桥	直罗镇战役
357	A	"秦时,人们开凿沟通湘江和漓江的运河是:"	灵渠	秦渠	唐徕渠	郑国渠
358	A	著名的亚欧间的海峡是:	土耳其海峡	直布罗陀海峡	马六甲海峡	
359	A	世界上最长的运河是哪一条?	中国京杭大运河	苏伊士运河	巴拿马运河	
360	A	咖啡的故乡是哪里?	非洲	大洋洲	美洲	亚洲
361	A	"我国第一个南极考察基地""长城站""什么时候落成?"	1985.2	1986.2	1981.2	1980.2
362	A	色盲患者最普遍的不易分辨的颜色是什么?	红绿	蓝绿	红蓝	绿蓝
363	A	下列哪种症状没有理由是遗传的?	口吃	糖尿病	近视	精神分裂症
364	A	"世界上面值最高的邮票是匈牙利五百亿彭哥,它的图案是:"	海鸥	鹰	飞鸽	猫
365	A	我国少数民族分布最多的省份是:	云南	四川	西藏	广西
366	A	下列哪一位著名画家擅长画虎?	张善子	徐悲鸿	齐白石	张大千
367	A	"被称为""画圣""的古代画家是:"	吴道子	顾恺之	韩干	张择端
368	A	我国第一部有声影片是:	《四郎探母》	《定军山》	《林则徐》	《玉人何处》
369	A	菲利浦电器是哪一个国家的产品?	荷兰	美国	日本	中国
370	A	我国发现最早的纸币是在哪个时期?	宋朝	元朝	明朝	唐朝 
371	A	馒头是谁发明的?	诸葛亮	曹操	屈原	李冰
372	A	"林则徐""虎门销烟""的时间是:"	1839年6月	1840年6月	1841年1月	1842年6月
373	A	"“山重水复疑无路,柳暗花明又一村""是谁的诗句?"	陆游	苏轼	辛弃疾	李白
374	A	"奥运会每四年举办一次,会期不超过多少天?"	16	15	20	22
375	A	亚洲第一个举办奥运会的国家?	日本	新加坡	中国	韩国
376	A	"看鱼鳞能识鱼龄,鱼鳞上的一圈是表示"	半岁	一岁	一岁半	两岁
377	A	世界上最大的动物是哪一种?	水母	恐龙	大象	鲸鱼
378	A	"山东山西的""山""是指:"	太行山	沂蒙山	恒山	泰山
379	A	破釜沉舟这个成语出于哪次战争?	巨鹿之战	官渡之战	长平之战	赤壁之战
380	A	金屋藏娇的故事与哪一位皇帝有关?	汉武帝	唐太宗	唐明皇	元世祖
381	A	坦克是哪个国家发明的?	英国	德国	美国	法国
382	A	五谷中的菽是指什么?	大豆	玉米	高粱	谷子
383	A	石头城是对我国哪座城市的美称?	南京	拉萨	西安	南昌
384	A	我国面积最大的湖泊是:	青海湖	鄱阳湖	洞庭湖	太湖
385	A	下列河流哪一条是世界流程最长:	尼罗河	长江	亚马孙河	密西西比河
386	A	"请问:火车连续发出两声长鸣,这表示:"	倒退	故障	停留	前进
387	A	"轮船发出六声短笛,这是表示什么呢?"	遇险	转弯	避让	倒退
388	A	"人不可有傲气,但不可无傲骨是谁的座右铭?"	徐悲鸿 	周恩来	李大钊	孙中山
389	A	著名史书《史记》是属于哪一类历史?	正史	杂史	稗史	野史
390	A	史书《资治通鉴》是属于哪一类体例的历史?	编年体	纪事本末体	纪传体	
391	A	我国是在哪个时期进入奴隶社会的?	夏	商	战国	周
392	A	下列农民起义哪次是洪秀全领导的:	金田起义	赤眉起义	黄巾起义	大泽乡起义
393	A	我国封建王朝正统皇帝大约有多少人?	500	300	400	600
394	A	我国第一部纪传体通史是:	《史记》	《春秋》	《后汉书》	《汉书》
395	A	世界环境日是在每年的哪一天?	6月5日	6月6日	6月7日	6月4日
396	A	"我国植树节定在每年的3月12日,这也是为纪念哪位人物而定的?"	孙中山	雷锋	白求恩	屈原
397	A	"著有""农村三部曲""的著名作家是:"	茅盾	郭沫若	欧阳山	巴金
398	A	红娘由来是出自下列哪部古典名剧:	《西厢记》	《长生殿》	《桃花扇》	《琵琶记》
399	A	"有""二十万行长诗""之称的世界最长的史诗是:"	《摩诃婆罗多》	《罗摩衍那》	《荷马史诗》	《唐璜》
400	A	"莎士比亚四大悲剧中哪部又称""王子复仇记"":"	《哈姆雷特》	《麦克白斯》	《李尔王》	《奥赛罗》
401	A	徐志摩.胡适等作家是属于哪一个文学流派的?	新月派	公安派	桐城派	江湖派
402	A	著名琴曲歌辞《胡笳十八拍》是谁的作品?	蔡琰	李清照 	苏惠	左芬
403	A	"中国古代""双手抱拳举过头顶,鞠躬"",这是什么拜礼?"	长揖	再拜	顿首	稽首
404	A	"天下兴亡,匹夫有责是哪位思想家的名言?"	顾炎武	王夫之	王充	黄宗羲
405	A	大家都害怕猛兽，但猛兽也有致命的弱点如狼。以凶狡猾著称，但它却害怕火和鲜红的颜色，而且它的腰最怕打，请问：老虎最害怕什么？	山雀的粪便	火	黄颜色	攻击其鼻子
406	A	天灵灵，地灵灵，此题纯属无解看你的运气如何。	我是对的	对的是我	我是正确	正确是我
407	A	“中华人民共和国”这一国名最早是由谁提出的？	任弼时	毛泽东	周恩来	张奚若
408	A	世界上最大的海是哪一个？	中国的南海	黑海	中国的黄海	红海
409	A	世界上是被称为“教育王国”的哪一个国家？	以色列	日本	美国	中国
410	A	“牛郎织女”的故事的故事是众口皆碑的神话传说，那你知道牛郎星是属于什么星座？	天鹰座	金牛座	狮子座	天琴座
411	A	长江山峡闻名世界，它们分别是瞿塘峡、巫峡和西陵峡，你可知道巫峡以什么而闻名？	幽深彩丽　	滩多水急	石林秀水	雄伟险峡
412	A	我国海拔最高的山峰是哪一座？	神农架的神农顶	泰山的玉皇顶	华山的洛雁峰	黄山的莲花峰
413	A	天气预报：“今天阴有小雨”你可知道小雨的降雨量为多少？	15毫米以下	20毫米以下	25毫米以下	30毫米以下
414	A	“豆寇年华”是指几岁	13	14	15	16
415	A	人们常说：“无事不登三宝殿”你知道“三宝”是指哪三宝？	佛、法、僧	金、银、玉	书、剑、琴	纸、砚、笔　
416	A	道教首创之地是哪里？	鹤鸣山	龙虎山	武当山	齐云山
417	A	唐代诗人有称“诗圣”的杜甫“诗仙”的李白等，你可知道被人颂称“诗魔”的是谁？	白居易	王维	刘禹锡	李商隐
418	A	“厄尔尼诺”一股很强的暖洋流，科学分析会导致全球气候的升高。	错	对		
419	A	鸟晚上是睡在树林里的	对	错		
420	A	人不惑之年是指50岁。	错	对		
421	A	中秋节是我们中华民族所独有的佳节。	错	对		
422	A	我国儒学的创始人是孟子。	错	对		
423	A	刑警指刑事警察、主要任务是处置突发性的刑事、治安案件。	错	对		
424	A	在我国被誉为跳水皇后是高敏。	错	对		
425	A	地球的平均半径为63710千米	错	对		
426	A	世界上最长的国歌是科威特的国歌	错	对		
427	A	“人有悲欢离合，月有阴晴圆缺”出自哪个时代作家的作品？	北宋	晚唐	南宋	
428	A	“但愿人长久，千里共婵娟”是哪位作家的作品？	苏轼	苏辙　	苏洵	
429	A	“天生我材必有用，千金散尽还复来”出自哪首诗？	《将进酒》	《致酒行》	《饮中八仙歌》	
430	A	“文章本无成，妙手偶得之”出自谁之口？	杜甫	李白	陶渊明	
431	A	"号""六一居士""的是："	欧阳修	白居易 	杜甫	李白
432	A	以下哪一类茶是半发酵茶？	乌龙茶	福茶	绿茶	
433	A	智者千虑，必有一失语出：	《晏子春秋》	〈左传〉	〈三国志〉	
434	A	《雪绒花》是哪部影片的插曲？	音乐之声	红与黑	卡散不蓝卡	魂断蓝桥
435	A	世界上最深的湖在哪个国家	俄罗斯	加拿大	美国	中国
436	A	人体最大的解毒器官是：	肝脏	膀胱	脾脏	肾脏
437	A	我国最大的诗歌集是	全唐诗	孔雀东南飞	女神	
438	A	歌剧诞生于哪个国家？	意大利	瑞典	法国	
439	A	“君子之交淡若水，小人之交甘若醴”出自下列哪部作品	《庄子》	《论语》	《史记》 	《老子》
440	A	下列哪部作品不属于杜甫的“三别”	《生死别》	《无家别》 	《垂老别》 	《新婚别》 
441	A	老舍的戏剧作品有：	《龙须沟》	《日出》	《四世同堂》　	《子夜》
442	A	下列哪把宝剑是王勃《滕王阁序》里提到的	龙泉剑 	干将剑	鱼肠剑 	莫邪剑
443	A	泰戈尔是印度著名作家、诗人，于1913年获得诺贝尔文学奖，为其赢得该奖的作品是	《吉檀迦利》	《园丁集》	《新月集》	《飞鸟集》 
444	A	《威尼斯商人》是哪人的作品？	英国	德国	法国 	俄国
445	A	碧云天，黄叶地，北雁南飞语出	《西厢记》	《孔雀东南飞》	《陌上桑》  	《木兰诗》
446	A	国际贸易的理论基础是	比较优势理论	新贸易保护理论	绝对优势理论	重商主义
447	A	关贸总协定缔约方，在哪一回合谈判中正式建立WTO? 	乌拉圭回合	新家破回合	日内瓦回合	东京回合
448	A	《海洋法公约》中关于毗邻区的规定、  是指从领海基线算起不超过——海里？	24	36	12	100
449	A	将万民法改称为国际法的著名法学家是？	边沁 	奥斯汀 	凯尔逊  	格老休斯
450	A	“要使事物合乎正义，须有毫无偏私的权衡，法恰恰是这样一个中道的权衡。”是谁所言？	亚理士多德	格老休斯	柏拉图	休昔底德
451	A	日光灯的发光效率比白炽灯高，是一种节能光源，但车床照明不使用日光灯，主要的原因是	日光灯发光是不连续的，所以在它照射下观看转动的物体会发生错觉	日光灯长度大，不便于工人操作	长其在日光灯照射下感到疲劳	日光灯是管形的，因此用它照明看不清零件的细节
452	A	占人体细胞干重50％以上的有机化合物是	蛋白质 	脂肪   	核酸	糖元
453	A	成年人身上有多少块骨骼	206	205	207	208
454	A	蚯蚓的血是什么颜色	红色	黑色  	蓝色	白色 
455	A	康有为的维新思想吸收了西方资本主义政治学说的内容其中最主要的是	君主立宪思想	人文主义思想   	三权分立学说	民主共和思想
456	A	1952年底我国已基本完成了土地改革，至此确立了	农民阶级土地所有制	家庭联产承包责任制 	人民公社体制	生产资料公有制
457	A	《1844年经济学手稿》的作者是：	马克思	恩格斯	列宁	斯大林
458	A	“我爱吾师，我更爱智慧。”是下列哪位哲学家说的：	苏格拉底	亚历士多德	尼采 	阿纳克萨格拉
459	A	泰勒斯认为万物之源是	水	火 	风 	原子
460	A	哪位哲学家每天下午三点准时出来散步，以至于邻居一直用他来调表：	康德	斯宾诺莎 	谢林	黑格尔
461	A	大笨钟是英国伦敦著名的建筑物，钟体重达13吨，大笨钟名字的由来是？	纪念钟塔工程负责人	纪念钟塔的建造地点	因为英国人觉得它太大、太笨重了        	
462	A	我国传统工艺有“三绝”，下列不是的是？	江苏宜兴紫砂   	福州脱胎瓷器	江西景德镇瓷器	北京景泰蓝 
463	A	中国古代中最早提到小孔成像的原理的著作是？	《墨经》	《天工开物》 	《四库全书》    	《九章算术》
464	A	1869年3月，谁正式公布了元素周期律？	门捷列夫	居里夫人	康特尔	巴斯特
465	A	什么人是最早到纽约定居的欧洲人民？	荷兰人	西班牙人	法国人	英国人
466	A	巴黎圣母院是什么式建筑的代表作？	哥特	洛可可 	巴洛克 	
467	A	世界上有两部同名小说《狂人日记》，它们的作者分别是鲁迅和谁？	果戈理 	屠格涅夫	莫泊桑 	巴尔扎克 
468	A	我国有“留学生”一词来源于何时？	唐朝	宋朝	明朝 	汉朝 
469	A	中国人民政治协商会议是	爱国统一战线组织	民间社团组织   	政权组织形式	权力机关
470	A	依法由任免机关在任免权限内，通过决定或命令直接委派其所需人员，担任某种行政领导职务，这种行政领导者的产生方式是	委任制	考任制	聘任制	选任制
471	A	五大淡水湖中面积最大的是	鄱阳湖 	洞庭湖	洪湖	青岛湖
472	A	《孙子兵法》是中国对世界的一大贡献，请问这本兵书有多少篇？	13	10	15	18
473	A	纸张取代简牍成为最主要的书写材料是在	魏晋南北朝时期	隋唐时期	秦汉时期	战国时期
474	A	奠定了三国鼎立局面的战争是	赤壁之战	八王之乱   	官渡之战	祖逖北伐
475	A	武汉长江第一大桥是跨武汉的那两个地区？	汉阳和武昌	武昌和江夏   	武昌和汉口	汉口和汉阳
476	A	俄罗斯的那一条河流经圣彼得堡？	涅瓦河	叶琳娜河	多瑙河	伏尔加河
477	A	大汶口文化遗址在我国的什么地方？	山东	广西	湖南 	
478	A	中国旧时流行的《百家姓》始写于	北宋	春秋	唐朝	
479	A	米兰·昆德拉的第一部长篇小说是： 	玩笑 	慢	不能承受的生命之轻 	
480	A	“卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭”，该诗句的作者是：  	北岛	顾城 	食指 	
481	A	感冒忌用下列哪一种食物	海鱼 	豆浆	青菜	生姜
482	A	老年人一天吃几只鸡蛋才合适	1~2只	2只	1只	2~3只
483	A	柠檬汁有哪些营养含量	维生素A和维生素	维生素B1和维生素C	维生素C	维生素B6
484	A	酒中含有酒精，饮酒过多或经常饮酒，会造成酒精中毒，使身体受损，那么，饮酒对人体的哪些器官最为有害？	心脏	肺	皮肤	眼睛
485	A	苹果中含有增强记忆力的微量元素是	锌	碘	钙	铁
486	A	吃太多手摇爆米花机爆出的米花会导致 	铅中毒	铬中毒	碘中毒	锡中毒
487	A	方便面里必然有哪种食品添加剂	合成抗氧化剂	食用色素	漂白剂	防腐剂
488	A	关于合理饮食有利于健康的下列说法正确的是	养成良好的饮食习惯，多吃蔬菜、水果等碱性食物	调味剂和营养剂加得越多越好	饮用水越纯净越好?	没有水就没有生命
489	A	低盐饮食有利于预防什么疾病	高血压	贫血	糖尿病	乙型肝
490	A	烧菜时最好在何时加碘盐以减少碘的损失？	菜将出锅时	烧菜加水后 	烧菜前用碘盐爆锅 	烧菜加水前
491	A	某人由于营养不良，身体浮肿，其食疗补救措施是	多喝豆汁	多吃馒头	多喝水	多吃蔬菜
492	A	下列不属于营养物质的是	肝糖元分解形成的葡萄糖	食物中的胡萝卜素	饮水中的碘 	食物中的葡萄糖
493	A	下列属于营养的是	饮水中的被吸收	食物中的维生素A	食物中的蛋白质	饮水中的
494	A	下列关于营养物质的叙述中，正确的是	在人体内可以利用必需氨基酸合成非必需氨基酸	营养物质摄入过多时，氧化分解加强，释放能量多	营养物质摄入过多时，一定排出	营养物质摄入过多时，一定使人发胖
495	A	有关维生素的叙述不正确的是	是构建机体组织和调节机体生理功能必不可少的物质	是维持机体新陈代谢必不可少的物质	是某些特殊生理功能所不可缺少的物质	绝大多数维生素不能在人体内合成
496	A	自然界中，有“智慧元素”之称的是	碘	锌	钙	铁
497	A	食品的保质期是指它的	最佳食用期	出厂日期	最终食用期	生产日期 
498	A	以下哪种食品可以食用? 	变绿的豆芽	变红的汤圆	发芽的土豆	发霉的茶叶
499	A	出现食物中毒症状或者误食化学品时，最先采取的急救措施是	催吐	吃止泻药物	进行人工呼吸 	向卫生防疫部门报告
500	A	在人的一生中，脑发育的最关键时期是	胎儿期和婴儿期	婴儿期和儿童期	青春期和婴儿期	儿童期和青春期
501	A	樱花的花期一般有多少天？	7天	5天	6天	8天
502	A	素有“瓷都”之称的景德镇位于哪个省份？	江西	湖南	新疆	福建
503	A	周杰伦所翻唱的“蜗牛”原为什么国际会议的主题曲？	世界展望会 	世界博览会 	世界休闲大会 	世界和平大会
504	A	一般认为，北宋风俗画《清明上河图》描绘的是什么季节的景象	春天	夏天	秋天	冬天
505	A	下列哪种维生素可治脚气病?	维生素B  	维生素A	维生素E	维生素C  
506	A	“金屋藏娇”的故事和下列哪位皇帝有关？	汉武帝 	唐太宗  	秦始皇	宋太祖
507	A	我国著名的“五岳”中，位于南方地区的是	衡山	恒山 	嵩山	华山 
508	A	以下历史事件中，与关羽无关的是	七擒七纵	大意失荆州　	单刀赴会　	水淹七军　
509	A	“人不可有傲气，但不可无傲骨”是谁的座右铭？ 	徐悲鸿 	孙中山	李大钊 	周恩来 
510	A	"被列为""世界十大文豪""之一的中国文学家是"	鲁迅	茅盾	郭沫若 	丁玲
511	A	下列哪个国家不是联合国常任理事国之一? 	德国 	中国	英国 	法国 
512	A	“江山社稷”中的“稷”在古代是指	五谷之神	祈求丰收	黎民百姓	土地之神 
513	A	下列河流哪一条是世界流程最长	尼罗河 	亚马孙河 	长江 	密西西比河
514	A	世界最大的内陆国是	蒙古	阿富汗	尼泊尔 	瑞士
515	A	下列哪个岛国不是欧洲国家？	马尔代夫	爱尔兰 	马耳他	冰岛
516	A	下列哪个国家被称为“袋鼠之国”？	澳大利亚	索马里 	肯尼亚	 新西兰
517	A	世界国土面积最小的国家是	梵蒂冈	瑙鲁	图瓦卢	摩纳哥
518	A	世界石油储量最多是哪一个国家？	沙特阿拉伯	科威特	伊拉克 	伊朗
519	A	下列哪一个城市不是我国的“三大火炉”(高温)之一？	成都	重庆  	武汉	南京
520	A	火车连续发出两声长鸣，这表示	倒退	停留	前进	故障
521	A	下列著名宫殿哪个位于英国？	白金汉宫	克里姆林宫	故宫 	凡尔赛宫
522	A	著名风景区九寨沟位于我国哪个省？	四川	云南	台湾	广西
523	A	下列五岳中哪座称“中丘”：	嵩山 	泰山	华山	衡山
524	A	下列哪座山不属于我国四大佛山之一	雁荡山	五台山 	峨眉山	普陀山
525	A	我国最大的佛像是哪一座？	乐山大佛	屏山大佛 	潼南金佛	荣成大佛
526	A	我国现有四大古桥，其中哪座位于广东潮州？	湘子桥 	赵州桥	卢沟桥	洛阳桥
527	A	下列哪一座寺院位于南京市	栖霞寺	玉泉寺	 国清寺	龙岩寺 
528	A	世界上现存最大的佛教艺术宝库是	敦煌石窟	云冈石窟	龙门石窟	大足石窟
529	A	我国四大名亭中哪一座亭名是毛泽东题的？	爱晚亭	醉翁亭	陶然亭	湖心亭
530	A	下列我国哪个古迹被誉为“世界八大奇迹”	秦始皇兵马俑 	长城 	乐山大佛	敦煌莫高窟
531	A	我国第一座国家森林公园是	张家界	长白山 	武夷山	九寨沟
532	A	下列名关哪一座被称为“天下第一关”	山海关	潼门关 	娘子关 	居庸关
533	A	美国“自由女神”座落在哪个城市	纽约  	 华盛顿        	洛杉机	旧金山
534	A	下列著名建筑物哪个不属于法国？	比萨斜塔 	凯旋门  	埃菲尔铁塔 	卢浮宫
535	A	格林尼威天文台位于哪个城市？	伦敦 	华盛顿	巴黎 	柏林
536	A	我国古代项羽“破釜沉舟”战胜秦军是在哪次战役	巨鹿之战	牧野之战	官渡之战	昆阳之战
537	A	下列哪次古代著名战役确立了三国鼎立局面？	赤壁之战	官渡之战	夷陵之战 	长平之战
538	A	和平解放北平是在解放战争三大战役中哪一次？	平津战役	淮海战役	辽沈战役	百团大战
539	A	我国进行抗美援朝是在哪一年？	1950.1	1949.1	951.1	1952.1
540	A	我国抗日战争期间八路军的总指挥是	朱德	周恩来	毛泽东	彭德怀
541	A	人民解放军第一位女将军是	李贞 	贺子珍	邓颖超 	蔡畅
542	A	下列我国军事家中哪位不是“十大元帅”之一	毛泽东	叶剑英	林彪 	 罗荣桓 
543	A	我国现存最早的兵书是：	《孙子兵法》 	《孙膑兵法	《吴子》 	《六韬》
544	A	比喻变被动为主动是“三十六计”中的哪一计？	反客为主	声东击西 	李代桃僵	欲擒故纵 
545	A	第二次世界大战中死亡人数最多的国家是	前苏联 	日本	中国	德国
546	A	二战后，被处死的日本甲级战犯中哪位时任内阁首相	东条英机	广田弘毅 	土肥原 	松井石根
547	A	下列哪个主权国家中没有军队？	安道尔	 挪威 	瑞士	海地
548	A	我国古代“十八般武艺”中第十八是“白打”意思是	徒手搏斗	打空拳	用白巾作武器 	用白棒打 
549	A	我国有一个专门进行核试验的“原子城”，它位于	新疆 	内蒙古 	四川	青海 
550	A	“隐形飞机”是指什么样的飞机？	雷达测不到	肉眼看不见	飞行太高看不见	体积太小 
551	A	我国卫星火箭发射基地“西昌”位于	四川  	西藏 	新疆 	青海
552	A	我国古代“三十六计”中第36计是	走为上计	美人计	 空城计	反间计
553	A	古代军事家曹操是哪个时期的人物？	三国 	西汉 	东汉 	南北朝
554	A	我国进行抗美援朝是在哪一年？	1950	1949	1951	1952
555	A	成语“闻鸡起舞”“中流击楫”是出自哪们古代将领的故事？	祖逖	岳飞	戚继光 	郑成功
556	A	左轮手枪一共可装几颗子弹？	6颗   	5颗	7颗	9颗
557	A	目前世界纪元(公元前后的划分)的方法是以什么为标准	耶稣基督教	犹太教	伊斯兰教 	佛教
558	A	下列世界奇迹哪个位于伊拉克？	空中花园	宙斯神像 	金字塔	太阳神像
559	A	第一次世界大战开始的时间是	1914	1939	1910	1940
560	A	美国第一任总统是谁？	华盛顿 	林肯	  罗斯福 	杜鲁门
561	A	我国是在哪个时期进入奴隶社会的？	夏 	战国	商 	秦
562	A	下列古都哪个被称为“六朝古都”	南京	洛阳	西安	北京
563	A	下列农民起义哪次是洪秀全领导的	金田起义	大泽乡起义 	黄巾起义	赤眉起义
564	A	下列历史上的大动乱跟吴三桂有关	三藩之乱	八王之乱	七国之乱 	安史之乱
565	A	我国唯一的两个皇帝合葬在一起的是唐高宗跟	武则天 	唐高祖  	唐太宗	唐中宗
566	A	下列哪位不是清末被杀害的“戊戌六君子”之一	康有为 	杨锐	刘光第 	林旭
567	A	中华人民共和国国旗五星红旗的设计者是	曾联松	毛泽东	梁思成 	周恩来
568	A	宋氏三姐妹中哪位是孙中山先生的夫人？	宋庆龄 	宋美龄	宋霭龄	
569	A	春秋五霸中哪位霸主最先称霸？	齐桓公	楚庄王	秦穆公	 晋文公 
570	A	我国古代“十恶不赦”中的首恶是	谋反	不义	内乱	不道
571	A	我国古代哪个朝代的“状元”最多	唐朝 	清朝	宋朝	明朝 
572	A	下列古代盛世哪个是李世民统治的时期？	贞观之治	康乾之治	成康之治	文景之治
